"","variety","location","mean(farmers_eval)","sd(farmers_eval)","mean(yield)","sd(yield)"
"1","Var. A","Castronuovo",2.23,0.113137084989848,451.575,38.3322586081227
"2","Var. A","Molise",3,0.339411254969543,744.005,63.9860926295707
"3","Var. A","Rotonda",3.065,0.0919238815542511,3381.5,93.6916485072176
"4","Var. A","Sestola",2.8,0.523259018078045,966.605,290.019846303663
"5","Var. B","Castronuovo",1.925,0.162634559672906,288.16,37.9574920140939
"6","Var. B","Molise",3,0.169705627484772,775.125,79.37273618819
"7","Var. B","Rotonda",3.165,0.332340187157677,3648,43.8406204335659
"8","Var. B","Sestola",2.12,0.777817459305202,789.5,352.181603437772
"9","Var. C","Castronuovo",1.655,0.106066017177982,259.265,121.997132958115
"10","Var. C","Molise",3.145,0.205060966544099,1029.88,36.4442835023547
"11","Var. C","Rotonda",3.05,0.113137084989847,3165.29,70.3005561855666
"12","Var. C","Sestola",2.43,0.608111831820431,1001.845,153.491668992164
"13","Var. D","Castronuovo",2.175,0.247487373415292,442.65,37.9292077428464
"14","Var. D","Molise",3,0.410121933088198,760.465,371.535116038848
"15","Var. D","Rotonda",3.09,0.169705627484771,3678.375,324.385235869329
"16","Var. D","Sestola",2.655,0.728319984622144,1285.6,419.752727447958
"17","Var. E","Castronuovo",2.155,0.106066017177982,461.375,29.5217081145384
"18","Var. E","Molise",3.16,0.311126983722081,923.51,131.125881503233
"19","Var. E","Rotonda",3.055,0.176776695296637,2994.125,290.090556981781
"20","Var. E","Sestola",3,0,933.895,468.041049535188
"21","Var. F","Castronuovo",2.04,0.763675323681471,422.405,283.769022357973
"22","Var. F","Molise",2.825,0.162634559672906,731.125,85.0295904376823
"23","Var. F","Rotonda",3.205,0.190918830920368,3434.87,244.319535035576
"24","Var. F","Sestola",2.5,0.29698484809835,893.395,34.8957196515561
"25","Var. G","Castronuovo",2.21,0.579827560572969,395.3,170.129891553483
"26","Var. G","Molise",2.88,0,994.635,322.985164442579
"27","Var. G","Rotonda",3.035,0.275771644662754,3205.15,692.75251352846
"28","Var. G","Sestola",2.355,0.502045814642449,734.855,55.458384848461
"29","Var. H","Castronuovo",1.5,0.113137084989848,206.1,67.6701189595526
"30","Var. H","Molise",2.855,0.289913780286485,701.825,68.8227030128867
"31","Var. H","Rotonda",2.8,0.197989898732233,2751.58,391.510882607368
"32","Var. H","Sestola",2.285,0.205060966544099,841.005,50.6217744651449
"33","Var. I","Castronuovo",3.235,0.00707106781186564,871.905,103.018386951068
"34","Var. I","Molise",3.295,0.0777817459305201,952.565,184.78821512748
"35","Var. I","Rotonda",2.585,0.0919238815542511,1454.625,187.913627100325
"36","Var. I","Sestola",2.715,0.403050865276332,895.47,339.411254969543
"37","Var. J","Castronuovo",2.31,0.0565685424949239,614.5,148.138870658582
"38","Var. J","Molise",2.785,0.21920310216783,819.86,49.2994847843261
"39","Var. J","Rotonda",3.08,0.29698484809835,2707.5,66.1144840409422
"40","Var. J","Sestola",2.07,0.0989949493661167,992.105,240.73450365496
"41","Var. K","Castronuovo",2.12,0,459.77,26.1205244970311
"42","Var. K","Molise",3.18,0.0848528137423858,988.945,246.150941598849
"43","Var. K","Rotonda",2.9,0.14142135623731,3456.445,132.674445354032
"44","Var. K","Sestola",2.2,0.89095454429505,913.225,514.554533601639
"45","Var. L","Castronuovo",2.905,0.0777817459305201,408.485,45.6861691324628
"46","Var. L","Molise",2.945,0.332340187157677,929.885,33.4249375466881
"47","Var. L","Rotonda",2.635,0.148492424049175,2658.14,17.1685526472095
"48","Var. L","Sestola",3.015,0.21920310216783,1300.4,148.09644425171
"49","Var. M","Castronuovo",1.595,0.459619407771256,304.38,161.390051738018
"50","Var. M","Molise",2.975,0.37476659402887,942.045,49.7873884633448
"51","Var. M","Rotonda",2.8,0.282842712474619,2459.475,225.531707859449
"52","Var. M","Sestola",3.2,0.282842712474619,1353.4,287.325769467342
"53","Var. N","Castronuovo",3.55,0.014142135623731,903.235,270.800683991012
"54","Var. N","Molise",3.265,0.0353553390593273,923.125,108.364114216838
"55","Var. N","Rotonda",3.1,0.0424264068711929,3145.775,670.372583903907
"56","Var. N","Sestola",2.56,0.381837661840736,1004.17,232.100729856672
